totalTasks,completedTasks,inProgressTasks,todoTasks,daysRemaining,highPriorityTasks,mediumPriorityTasks,lowPriorityTasks,risk
8,7,1,0,8,1,0,0,LOW
11,1,0,10,5,7,0,3,HIGH
22,4,2,16,5,9,6,3,HIGH
17,15,0,2,12,0,1,1,LOW
23,16,4,3,11,7,0,0,LOW
14,5,4,5,3,7,2,0,MEDIUM
17,13,2,2,14,1,2,1,LOW
26,8,2,16,4,9,3,6,HIGH
26,25,0,1,14,1,0,0,LOW
15,11,2,2,7,1,1,2,MEDIUM
14,10,2,2,12,4,0,0,LOW
7,5,0,2,11,1,1,0,LOW
29,22,1,6,13,2,2,3,LOW
28,2,16,10,1,4,20,2,HIGH
5,3,0,2,5,1,0,1,MEDIUM
13,8,2,3,4,2,0,3,MEDIUM
22,20,2,0,7,1,1,0,LOW
9,3,6,0,8,1,4,1,MEDIUM
19,18,1,0,7,1,0,0,LOW
9,8,0,1,4,1,0,0,LOW
6,4,0,2,7,2,0,0,LOW
7,0,6,1,2,5,1,1,HIGH
23,1,14,8,1,20,2,0,HIGH
7,3,3,1,3,4,0,0,HIGH
26,12,11,3,6,1,3,10,MEDIUM
26,10,3,13,1,14,0,2,HIGH
6,4,1,1,10,2,0,0,LOW
30,25,0,5,8,1,0,4,LOW
11,3,3,5,5,6,1,1,HIGH
17,4,4,9,3,4,5,4,HIGH
27,10,6,11,1,10,2,5,HIGH
17,12,4,1,13,5,0,0,LOW
26,18,5,3,12,1,3,4,LOW
26,19,5,2,6,5,0,2,MEDIUM
21,17,1,3,8,2,1,1,LOW
30,14,3,13,2,3,8,5,HIGH
14,11,2,1,11,1,0,2,LOW
14,2,7,5,3,9,0,3,HIGH
22,10,11,1,5,6,2,4,HIGH
21,14,0,7,8,5,2,0,MEDIUM
5,2,0,3,7,3,0,0,MEDIUM
20,19,1,0,6,1,0,0,LOW
18,4,3,11,2,4,1,9,HIGH
28,11,3,14,3,0,10,7,HIGH
21,20,1,0,14,0,0,1,LOW
26,17,4,5,11,8,0,1,LOW
8,1,6,1,2,7,0,0,HIGH
29,27,1,1,8,1,0,1,LOW
18,12,2,4,8,6,0,0,LOW
9,3,0,6,4,3,3,0,HIGH
